MaterialCode,MaterialDescription,Presentation,Retornability,ProductType,Brand,Packaging,Category,Flavor,Container,Size,DetailedSegment,NonCarbonated,BottlesBySKU,BasisMaterialCode,CUEquivalence,ConsumptionOccasion,EAN,ISSCOM
"17059","COCA-COLA LS 2.25L NR 6PET    ","COCA COLA 2250 ML NO RETORNABLE","NO RETORNABLE","REFRESCOS","COCA COLA","2250 ML PET","REFRESCOS","COLA","PET","FAMILIAR","SSD",False,6,"327",2.3776000000000859,"GASEOSA LOW CAL FAMILIAR ","7790895000997","ABT5053688"
"7519","COCA-COLA 2250*6 PET CT       ","COCA COLA 2250 ML NO RETORNABLE","NO RETORNABLE","REFRESCOS","COCA COLA","2250 ML PET","REFRESCOS","COLA","PET","FAMILIAR","SSD",False,6,"195",2.3775999999973254,"GASEOSA LOW CAL FAMILIAR ","7790895000997","0001053659"
"7651","SPRITE 2250*6 PCT             ","SPRITE 2250 ML NO RETORNABLE","NO RETORNABLE","REFRESCOS","SPRITE","2250 ML PET","REFRESCOS","LIMA LIMON","PET","FAMILIAR","SSD",False,6,"2095",2.3775999999998652,"GASEOSA LOW CAL FAMILIAR ","7790895001000","0014053717"
"17072","SPRITE LS 2.25L NR 6PET       ","SPRITE 2250 ML NO RETORNABLE","NO RETORNABLE","REFRESCOS","SPRITE","2250 ML PET","REFRESCOS","LIMA LIMON","PET","FAMILIAR","SSD",False,6,"2327",2.3776000000000095,"GASEOSA LOW CAL FAMILIAR ","7790895001000","AC9D053717"
"7586","FANTA NARANJA 2250*6 PMP      ","FANTA 2250 ML NO RETORNABLE","NO RETORNABLE","REFRESCOS","FANTA","2250 ML PET","REFRESCOS","NARANJA","PET","FAMILIAR","SSD",False,6,"1195",2.3775999999975457,"GASEOSA REGULAR FAMILIAR ","7790895001017","0232053684"
"7548","COCA-COLA LIGHT 1500*6CT      ","COCA COLA LIGHT 1500 ML NO RETORNABLE","NO RETORNABLE","REFRESCOS","COCA COLA LIGHT","1500 ML PET","REFRESCOS","COLA","PET","FAMILIAR","SSD",False,6,"690",1.5850999999953608,"GASEOSA LOW CAL FAMILIAR ","7790895001451","1253053651"
"7502","COCA-COLA 1000*12 VR          ","COCA COLA 1000 ML RETORNABLE","RETORNABLE","REFRESCOS","COCA COLA","1000 ML RET VIDRIO","REFRESCOS","COLA","RET VIDRIO","FAMILIAR","SSD",False,12,"102",2.1133999999800315,"GASEOSA REGULAR FAMILIAR RETORNABLE","7790895001598","0001050266"
"17373","FANTA POMELO 250ML 12PET","FANTA 250 ML NO RETORNABLE","NO RETORNABLE","REFRESCOS","FANTA","250 ML PET","REFRESCOS","POMELO","PET","INDIVIDUAL","SSD",False,12,"1282",0.52829999999999999,"GASEOSA REGULAR INDIVIDUAL ","7790895002151","5486055589"
"9942","FANTA NARANJA S/AZUCAR 1.5*6P ","FANTA SIN AZUCAR 1500 ML NO RETORNABLE","NO RETORNABLE","REFRESCOS","FANTA SIN AZUCAR","1500 ML PET","REFRESCOS","NARANJA","PET","FAMILIAR","SSD",False,6,"1191",1.5850999999999977,"GASEOSA LOW CAL FAMILIAR ","7790895002304","ABDK053682"
"17295","FANTA NARANJA S/A 500*12PET","FANTA SIN AZUCAR 500 ML NO RETORNABLE","NO RETORNABLE","REFRESCOS","FANTA SIN AZUCAR","500 ML PET","REFRESCOS","NARANJA","PET","INDIVIDUAL","SSD",False,12,"1129",1.2681,"GASEOSA LOW CAL INDIVIDUAL ","7790895002335","ABDK053702"
"17044","COCA-COLA 375ML*6 PET         ","COCA COLA 375 ML NO RETORNABLE","NO RETORNABLE","REFRESCOS","COCA COLA","375 ML PET","REFRESCOS","COLA","PET","INDIVIDUAL","SSD",False,6,"118",0.40000000000000002,"GASEOSA REGULAR INDIVIDUAL ","7790895002656","000105A2SD"
"8262","COCA-COLA 375*12 PET CT       ","COCA COLA 375 ML NO RETORNABLE","NO RETORNABLE","REFRESCOS","COCA COLA","375 ML PET","REFRESCOS","COLA","PET","INDIVIDUAL","SSD",False,12,"116",0.79249999998383869,"GASEOSA REGULAR INDIVIDUAL ","7790895002656","0001057436"
"8161","AQUARIUS POMELO 2,25L*6       ","AQUARIUS 2250 ML NO RETORNABLE","NO RETORNABLE","CATEGORÍAS EN EXPANSIÓN","AQUARIUS","2250 ML PET","CATEGORÍAS EN EXPANSIÓN","POMELO","PET","FAMILIAR","FW",True,6,"4231",2.3776000001698163,"AGUA SABORIZADA REGULAR FAMILIAR ","7790895003288","A4B9053684"
"8163","AQUARIUS PERA 2,25L*6 PE      ","AQUARIUS 2250 ML NO RETORNABLE","NO RETORNABLE","CATEGORÍAS EN EXPANSIÓN","AQUARIUS","2250 ML PET","CATEGORÍAS EN EXPANSIÓN","PERA","PET","FAMILIAR","FW",True,6,"4233",2.3776000001959536,"AGUA SABORIZADA REGULAR FAMILIAR ","7790895003295","A4CA053684"
"8188","AQUARIUS MANZANA 2,25L*6 PE   ","AQUARIUS 2250 ML NO RETORNABLE","NO RETORNABLE","CATEGORÍAS EN EXPANSIÓN","AQUARIUS","2250 ML PET","CATEGORÍAS EN EXPANSIÓN","MANZANA","PET","FAMILIAR","FW",True,6,"4235",2.377600000246046,"AGUA SABORIZADA REGULAR FAMILIAR ","7790895003301","A4CB053684"
"8162","AQUARIUS NARANJA 2,25L*6 PET  ","AQUARIUS 2250 ML NO RETORNABLE","NO RETORNABLE","CATEGORÍAS EN EXPANSIÓN","AQUARIUS","2250 ML PET","CATEGORÍAS EN EXPANSIÓN","NARANJA","PET","FAMILIAR","FW",True,6,"4237",2.3776000001958719,"AGUA SABORIZADA REGULAR FAMILIAR ","7790895003325","A5V1053684"
"8089","KIN SIN GAS 500*15 VR         ","KIN 500 ML NO RETORNABLE","NO RETORNABLE","AGUA PURIFICADA","KIN","500 ML PET","AGUA PURIFICADA","SIN GAS","PET","INDIVIDUAL","PW",True,15,"2609",1.3209000006890532,"AGUA PLENA REGULAR INDIVIDUAL ","7790895003349","1688052121"
"8090","KIN CON GAS 500*15 VR         ","KIN 500 ML RETORNABLE","RETORNABLE","AGUA PURIFICADA","KIN","500 ML RET VIDRIO","AGUA PURIFICADA","CON GAS","RET VIDRIO","INDIVIDUAL","PW",True,15,"2709",1.3209000006202145,"AGUA PLENA REGULAR INDIVIDUAL RETORNABLE","7790895003356","2420052121"
"8189","AQUARIUS POM.ROSADO 0,5L*12PET","AQUARIUS 500 ML NO RETORNABLE","NO RETORNABLE","CATEGORÍAS EN EXPANSIÓN","AQUARIUS","500 ML PET","CATEGORÍAS EN EXPANSIÓN","POMELO ROSADO","PET","INDIVIDUAL","FW",True,12,"4212",1.0567000000093709,"AGUA SABORIZADA REGULAR INDIVIDUAL ","7790895004032","A68L053702"
"8190","AQUARIUS POM.ROSADO 1,5L*6 PET","AQUARIUS 1500 ML NO RETORNABLE","NO RETORNABLE","CATEGORÍAS EN EXPANSIÓN","AQUARIUS","1500 ML PET","CATEGORÍAS EN EXPANSIÓN","POMELO ROSADO","PET","FAMILIAR","FW",True,6,"4230",1.585000000808775,"AGUA SABORIZADA REGULAR FAMILIAR ","7790895004049","A68L053682"
"17066","SPRITE LS 2.5L RP","SPRITE 2500 ML RETORNABLE","RETORNABLE","REFRESCOS","SPRITE","2500 ML RET PET","REFRESCOS","LIMA LIMON","RET PET","FAMILIAR","SSD",False,8,"2330",3.5223000000000479,"GASEOSA REGULAR FAMILIAR RETORNABLE","7790895004384","AC9D055076"
"8069","SPRITE 2500*8 RPET            ","SPRITE 2500 ML RETORNABLE","RETORNABLE","REFRESCOS","SPRITE","2500 ML RET PET","REFRESCOS","LIMA LIMON","RET PET","FAMILIAR","SSD",False,8,"2030",3.5223000004596803,"GASEOSA REGULAR FAMILIAR RETORNABLE","7790895004384","0014052743"
"17388","SCHWEPPES TONICA 2250*6P","SCHWEPPES 2250 ML NO RETORNABLE","NO RETORNABLE","REFRESCOS","SCHWEPPES","2250 ML PET","REFRESCOS","TONICA","PET","FAMILIAR","SSD",False,6,"3175",2.3776000007962081,"GASEOSA REGULAR FAMILIAR ","7790895004667","4715053684"
"8234","CEPITA MANZANA 300*6 PET      ","CEPITA 300 ML NO RETORNABLE","NO RETORNABLE","CATEGORÍAS EN EXPANSIÓN","CEPITA","300 ML PET","CATEGORÍAS EN EXPANSIÓN","MANZANA","PET","INDIVIDUAL","RTD",True,6,"3843",0.31700000003776108,"JUGO REGULAR INDIVIDUAL ","7790895004926","A8KD056775"
"8235","CEPITA MANZANA 1.5*4 PET      ","CEPITA 1500 ML NO RETORNABLE","NO RETORNABLE","CATEGORÍAS EN EXPANSIÓN","CEPITA","1500 ML PET","CATEGORÍAS EN EXPANSIÓN","MANZANA","PET","FAMILIAR","RTD",True,4,"3848",1.056700000000008,"JUGO REGULAR FAMILIAR ","7790895004933","A8KD054103"
"8191","AQUARIUS POM.ROSADO 2,25L*6PET","AQUARIUS 2250 ML NO RETORNABLE","NO RETORNABLE","CATEGORÍAS EN EXPANSIÓN","AQUARIUS","2250 ML PET","CATEGORÍAS EN EXPANSIÓN","POMELO ROSADO","PET","FAMILIAR","FW",True,6,"4240",2.3776000000441244,"AGUA SABORIZADA REGULAR FAMILIAR ","7790895004971","A68L053684"
"7501","COCA-COLA 350*24 VR           ","COCA COLA 350 ML RETORNABLE","RETORNABLE","REFRESCOS","COCA COLA","350 ML RET VIDRIO","REFRESCOS","COLA","RET VIDRIO","INDIVIDUAL","SSD",False,24,"101",1.4794000031779444,"GASEOSA REGULAR INDIVIDUAL RETORNABLE","7790895005176","0001052037"
